Name,Image URL,Address,Phone No,Area
Rosewood Crescent Hotel,https://downtowndallas.com/wp-content/uploads/2018/09/Rosewood-320x320.jpg,400 Crescent Court,214-871-3200,Uptown
Sheraton Dallas,https://downtowndallas.com/wp-content/uploads/2018/09/sheraton-320x320.jpg,400 Olive Street,214-922-8000,Main Street District
Springhill Suites,https://downtowndallas.com/wp-content/uploads/2018/09/Springhill.jpeg,1907 N. Lamar Street,214-999-0500,West End Historic District
The Guild Hotel Downtown,https://downtowndallas.com/wp-content/uploads/2018/11/Dallas_Credit-Justin-Terveen_2-e1546905975138-320x320.jpg,1601 Elm St.,(512) 623-7480,Dallas Arts District,Visit Site
The Guild Hotel,https://downtowndallas.com/wp-content/uploads/2018/09/Dallas_Credit_Justin_Terveen_DSC_2801_a-e1546906696508-320x320.jpg,3111 North Houston St.,(512) 623-7480,Victory Park,Visit Site
The Joule,https://downtowndallas.com/wp-content/uploads/2018/09/The-Joule-320x320.jpg,1530 Main St.,214-748-1300,Main Street District
The Statler,https://downtowndallas.com/wp-content/uploads/2018/09/The-Statler-320x320.jpg,1914 Commerce,214-459-3930,Main Street District
The Stoneleigh,https://downtowndallas.com/wp-content/uploads/2018/09/The-Stoneleigh-320x320.jpg,2927 Maple Avenue,214-871-7111,Uptown
Thompson Dallas,https://downtowndallas.com/wp-content/uploads/2018/09/BeloGarden-e1546906748738-320x320.jpg,205 N Akard St.,469-320-1234,Main Street District,Visit Site
TownePlace Suites,https://downtowndallas.com/wp-content/uploads/2018/09/BeloGarden-e1546906748738-320x320.jpg,555 Evergreen Street,(214) 749-5155,Dallas Farmers Market
W Dallas - Victory,https://downtowndallas.com/wp-content/uploads/2018/09/w-Dallas-320x320.jpg,2440 Victory Park La,214-397-4100,Victory Park
Westin Dallas Downtown,https://downtowndallas.com/wp-content/uploads/2018/09/Westin-320x320.jpg,1201 Main Street,972-584-6650,Main Street District
